#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 167746:1894 | 06/26/11 00:26:48 | 325  | 325  | 0.009          | 0.009         |
| 167754:1895 | 06/26/11 05:40:56 | 37   | 37   | 0.001          | 0.001         |
| 167784:1898 | 06/26/11 11:00:43 | 17   | 17   | 0.000          | 0.000         |
| 167786:1898 | 06/26/11 11:42:27 | 159  | 159  | 0.004          | 0.004         |
| 167807:1900 | 06/26/11 22:30:37 | 1751 | 1751 | 0.043          | 0.042         |
| 167830:1900 | 06/27/11 10:18:14 | 1231 | 1231 | 0.022          | 0.021         |
| 167898:1901 | 06/27/11 22:29:50 | 1642 | 1642 | 0.041          | 0.040         |
| 167913:1901 | 06/28/11 09:15:43 | 431  | 431  | 0.008          | 0.008         |
| 170722:1960 | 07/20/11 00:44:17 | 174  | 174  | 0.005          | 0.005         |
| 170759:1961 | 07/20/11 08:52:42 | 316  | 316  | 0.010          | 0.010         |
| 170826:1962 | 07/20/11 18:33:41 | 239  | 239  | 0.007          | 0.007         |
| 170842:1962 | 07/20/11 20:24:02 | 322  | 322  | 0.008          | 0.008         |
| 170854:1962 | 07/20/11 22:40:53 | 565  | 565  | 0.012          | 0.012         |
| 170876:1962 | 07/21/11 03:00:45 | 507  | 507  | 0.009          | 0.009         |
| 170896:1962 | 07/21/11 06:34:26 | 212  | 212  | 0.003          | 0.003         |
| 170899:1962 | 07/21/11 07:59:35 | 84   | 84   | 0.001          | 0.001         |
| 170901:1962 | 07/21/11 08:40:00 | 187  | 187  | 0.003          | 0.003         |
| 171050:1966 | 07/22/11 10:30:08 | 582  | 582  | 0.019          | 0.019         |
| 171091:1966 | 07/22/11 15:02:46 | 135  | 135  | 0.004          | 0.004         |
| 171098:1966 | 07/22/11 16:00:27 | 8    | 8    | 0.000          | 0.000         |
| 171102:1966 | 07/22/11 16:13:33 | 19   | 19   | 0.001          | 0.000         |
| 171106:1966 | 07/22/11 16:27:19 | 284  | 284  | 0.007          | 0.007         |
| 171117:1966 | 07/22/11 18:31:12 | 77   | 77   | 0.002          | 0.002         |
| 171156:1967 | 07/22/11 22:03:21 | 639  | 639  | 0.020          | 0.019         |
| 171178:1967 | 07/23/11 02:42:31 | 1014 | 1014 | 0.024          | 0.023         |
| 171219:1968 | 07/23/11 14:27:09 | 104  | 104  | 0.004          | 0.004         |
| 171274:1970 | 07/23/11 21:38:12 | 54   | 54   | 0.002          | 0.002         |
| 171282:1970 | 07/23/11 22:07:06 | 159  | 159  | 0.006          | 0.006         |
| 171315:1971 | 07/24/11 01:43:40 | 169  | 169  | 0.007          | 0.006         |
| 171369:1972 | 07/24/11 07:34:07 | 103  | 103  | 0.004          | 0.004         |
| 171446:1974 | 07/24/11 20:17:19 | 783  | 783  | 0.027          | 0.027         |
| 171484:1975 | 07/25/11 04:03:09 | 361  | 361  | 0.013          | 0.013         |
| 171578:1979 | 07/25/11 18:28:23 | 891  | 891  | 0.025          | 0.025         |
| 171812:1982 | 07/26/11 23:36:58 | 371  | 371  | 0.014          | 0.014         |
| 171876:1985 | 07/27/11 13:31:29 | 523  | 523  | 0.020          | 0.019         |
| 171880:1985 | 07/27/11 18:05:08 | 184  | 184  | 0.006          | 0.006         |
| 171895:1985 | 07/27/11 20:51:18 | 1    | 1    | 0.000          | 0.000         |
| 171897:1985 | 07/27/11 21:10:26 | 346  | 346  | 0.009          | 0.009         |
| 171921:1986 | 07/28/11 05:58:47 | 91   | 91   | 0.004          | 0.004         |
| 171926:1986 | 07/28/11 06:43:02 | 249  | 249  | 0.010          | 0.010         |
| 172014:1990 | 07/28/11 21:21:10 | 230  | 230  | 0.010          | 0.010         |
| 172024:1990 | 07/28/11 23:01:18 | 46   | 46   | 0.002          | 0.002         |
| 172033:1990 | 07/29/11 00:07:09 | 728  | 728  | 0.025          | 0.024         |
| 172163:1991 | 07/29/11 13:52:36 | 429  | 429  | 0.018          | 0.018         |
| 172208:1992 | 07/30/11 07:51:54 | 133  | 133  | 0.006          | 0.006         |
| 172252:1993 | 07/30/11 18:59:59 | 23   | 23   | 0.001          | 0.001         |
| 172254:1993 | 07/30/11 19:18:48 | 35   | 35   | 0.002          | 0.002         |
| 172255:1993 | 07/30/11 19:39:12 | 36   | 36   | 0.002          | 0.002         |
| 172268:1994 | 07/30/11 23:53:26 | 111  | 111  | 0.005          | 0.005         |
| 172286:1996 | 07/31/11 06:17:21 | 153  | 153  | 0.007          | 0.007         |
| 172389:1997 | 08/01/11 21:41:02 | 413  | 413  | 0.018          | 0.017         |
| 172399:1998 | 08/02/11 04:02:40 | 170  | 170  | 0.008          | 0.008         |
| 172400:1998 | 08/02/11 05:17:08 | 695  | 695  | 0.026          | 0.025         |
| 172401:1998 | 08/02/11 09:57:39 | 142  | 142  | 0.005          | 0.004         |
| 172411:1999 | 08/02/11 15:17:25 | 265  | 265  | 0.012          | 0.012         |
| 172478:1999 | 08/03/11 01:37:22 | 110  | 110  | 0.003          | 0.003         |
| 172619:2000 | 08/03/11 22:24:03 | 77   | 77   | 0.002          | 0.002         |
| 172620:2000 | 08/03/11 23:02:11 | 495  | 495  | 0.010          | 0.010         |
| 172630:2001 | 08/04/11 04:47:04 | 118  | 118  | 0.006          | 0.006         |
| 172635:2001 | 08/04/11 05:50:16 | 262  | 262  | 0.011          | 0.011         |
| 172778:2005 | 08/04/11 22:43:55 | 45   | 45   | 0.002          | 0.002         |
| 172791:2006 | 08/05/11 03:26:18 | 1572 | 1572 | 0.057          | 0.056         |
| 172798:2006 | 08/05/11 13:56:46 | 31   | 31   | 0.001          | 0.001         |
| 172799:2006 | 08/05/11 14:11:32 | 367  | 367  | 0.010          | 0.010         |
| 172801:2006 | 08/05/11 16:45:18 | 1129 | 1129 | 0.025          | 0.024         |
| 172802:2006 | 08/06/11 00:14:38 | 780  | 780  | 0.014          | 0.014         |
| 172819:2007 | 08/06/11 10:31:43 | 194  | 194  | 0.009          | 0.009         |
| 172822:2007 | 08/06/11 12:02:05 | 2300 | 2300 | 0.073          | 0.072         |
| 172824:2007 | 08/07/11 03:22:02 | 49   | 49   | 0.001          | 0.001         |
| 172847:2008 | 08/07/11 15:13:37 | 66   | 66   | 0.003          | 0.003         |
| 172865:2009 | 08/07/11 22:50:29 | 342  | 342  | 0.016          | 0.016         |
| 172868:2009 | 08/08/11 01:21:39 | 1951 | 1951 | 0.063          | 0.062         |
| 172949:2010 | 08/08/11 19:35:38 | 1212 | 1212 | 0.048          | 0.047         |
| 172951:2010 | 08/09/11 03:44:26 | 52   | 52   | 0.002          | 0.002         |
| 172952:2010 | 08/09/11 04:12:52 | 1548 | 1548 | 0.040          | 0.040         |
| 172992:2011 | 08/10/11 04:55:25 | 395  | 395  | 0.015          | 0.015         |
| 172999:2011 | 08/10/11 08:36:56 | 284  | 284  | 0.010          | 0.009         |
| 173198:2022 | 08/12/11 01:42:28 | 758  | 758  | 0.032          | 0.031         |
| 173236:2025 | 08/12/11 15:37:42 | 104  | 104  | 0.005          | 0.005         |
| 173240:2025 | 08/12/11 16:24:07 | 124  | 124  | 0.006          | 0.006         |
| 173241:2025 | 08/12/11 17:20:29 | 747  | 747  | 0.031          | 0.030         |
| 173243:2025 | 08/12/11 22:19:40 | 89   | 89   | 0.003          | 0.003         |
| 173380:2028 | 08/16/11 20:08:16 | 131  | 131  | 0.006          | 0.006         |
| 173381:2028 | 08/16/11 21:07:44 | 277  | 277  | 0.012          | 0.011         |
| 173389:2029 | 08/17/11 01:44:57 | 600  | 600  | 0.027          | 0.026         |
| 173406:2030 | 08/17/11 10:01:49 | 246  | 246  | 0.012          | 0.012         |
| 173430:2031 | 08/17/11 18:16:12 | 92   | 92   | 0.005          | 0.005         |
| 173438:2032 | 08/17/11 21:14:06 | 25   | 25   | 0.001          | 0.001         |
| 173439:2032 | 08/17/11 21:30:34 | 740  | 740  | 0.037          | 0.035         |
| 173657:2037 | 08/21/11 02:42:53 | 35   | 35   | 0.002          | 0.001         |
